yo,I
tú,you
vos,you
usted,you
él,he
ella,she
nosotros,we
nosotras,we
vosotros,you all
vosotras,you all
ustedes,you all
ellos,they
ellas,they
me,me
te,you
lo,him/it
la,her/it
nos,us
os,you all
los,them
las,them
le,him/her/you
les,them/you all
se,himself/herself/yourself/themselves/yourselves
mí,me
ti,you
sí,himself/herself/yourself/themselves/yourselves
conmigo,with me
contigo,with you
consigo,with himself/herself/yourself/themselves/yourselves
este,this
esta,this
estos,these
estas,these
ese,that
esa,that
esos,those
esas,those
aquel,that
aquella,that
aquellos,those
aquellas,those
cuyo,whose
cuya,whose
cuyos,whose
cuyas,whose
que,that/which/who
quien,who
quienes,who
cual,which
cuales,which
alguien,someone/somebody
nadie,no-one/nobody
algo,something
nada,nothing
todo,everything
cada,each/every
otro,other/another
otra,other/another
otros,others/another
otras,others/another
mío,mine
mía,mine
míos,mine
mías,mine
tuyo,yours
tuya,yours
tuyos,yours
tuyas,yours
suyo,his/hers/yours
suya,his/hers/yours
suyos,his/hers/yours
suyas,his/hers/yours
nuestro,ours
nuestra,ours
nuestros,ours
nuestras,ours
vuestro,yours
vuestra,yours
vuestros,yours
vuestras,yours
esto,this
eso,that
aquello,that
cualquiera,anyone/anybody/whichever
quienquiera,whoever
dondequiera,wherever
cualquier,any
ninguno,none
ninguna,none
ambos,both
ambas,both
